Noah Vonleh;4;15;3,6;0,24
Sasha Vujacic;2;14,9;4,9;0,32885906
Quincy Acy;3;14,8;5,2;0,351351351
Solomon Hill;3;14,7;4,2;0,285714286
Alexis Ajinca;5;14,6;6;0,410958904
Brandon Rush;2;14,6;4,2;0,287671233
Dwight Powell;4;14,4;5,8;0,402777778
Kyle Singler;3;14,4;3,4;0,236111111
Miles Plumlee;5;14,3;5,1;0,356643357
Rashad Vaughn;2;14,3;3,1;0,216783217
Chase Budinger;3;14,1;4,1;0,290780142
Pablo Prigioni;1;13,9;2,5;0,179856115
Anthony Morrow;2;13,6;5,6;0,411764706
Cole Aldrich;5;13,3;5,5;0,413533835
Johnny O'Bryant;4;13;3;0,230769231
Thomas Robinson;4;12,9;4,3;0,333333333
Dewayne Dedmon;5;12,2;4,4;0,360655738
Chris Johnson;3;12,2;2,9;0,237704918
